time[s],deltaTime[s],rainfall[m],totalWaterLevel[m],surfaceFlow[m3/s],surfaceVolRunoff[m3]
389.1419,2.1949,0.000304847,0.011028415,0.029091697,0.063853366
391.3368,2.1949,0.000304847,0.011028464,0.029091924,0.063853865
393.5317,2.1949,0.000304847,0.011028513,0.029092149,0.063854359
395.7266,2.1949,0.000304847,0.011028561,0.029092372,0.063854848
397.9215,2.1949,0.000304847,0.011028609,0.029092593,0.063855333
400.1164,2.1949,0.000304847,0.011028657,0.029092812,0.063855814
402.3113,2.1949,0.000304847,0.011028704,0.029093029,0.06385629
404.5062,2.1949,0.000304847,0.011028751,0.029093244,0.063856762
406.7011,2.1949,0.000304847,0.011028797,0.029093458,0.06385723
408.896,2.1949,0.000304847,0.011028843,0.029093669,0.063857694
411.0909,2.1949,0.000304847,0.011028888,0.029093878,0.063858153
413.2858,2.1949,0.000304847,0.011028933,0.029094086,0.063858609
415.4807,2.1949,0.000304847,0.011028978,0.029094292,0.063859061
417.6756,2.1949,0.000304847,0.011029022,0.029094496,0.063859508
419.8705,2.1949,0.000304847,0.011029066,0.029094698,0.063859952
422.0654,2.1949,0.000304847,0.01102911,0.029094898,0.063860393
424.2603,2.1949,0.000304847,0.011029153,0.029095097,0.063860829
426.4552,2.1949,0.000304847,0.011029196,0.029095294,0.063861262
428.6501,2.1949,0.000304847,0.011029238,0.02909549,0.063861691
430.845,2.1949,0.000304847,0.01102928,0.029095684,0.063862116
433.0399,2.1949,0.000304847,0.011029322,0.029095876,0.063862538
435.2348,2.1949,0.000304847,0.011029364,0.029096067,0.063862957
437.4297,2.1949,0.000304847,0.011029405,0.029096256,0.063863372
439.6246,2.1949,0.000304847,0.011029445,0.029096443,0.063863784
441.8195,2.1949,0.000304847,0.011029486,0.029096629,0.063864192
444.0144,2.1949,0.000304847,0.011029526,0.029096814,0.063864597
446.2093,2.1949,0.000304847,0.011029566,0.029096997,0.063864999
448.4042,2.1949,0.000304847,0.011029605,0.029097179,0.063865398
450.5991,2.1949,0.000304847,0.011029644,0.029097359,0.063865793
452.794,2.1949,0.000304847,0.011029683,0.029097538,0.063866185
454.9889,2.1949,0.000304847,0.011029722,0.029097715,0.063866575
457.1838,2.1949,0.000304847,0.01102976,0.029097891,0.063866961
459.3787,2.1949,0.000304847,0.011029798,0.029098066,0.063867344
461.5736,2.1949,0.000304847,0.011029835,0.029098239,0.063867724
463.7685,2.1949,0.000304847,0.011029873,0.029098411,0.063868102
465.9634,2.1949,0.000304847,0.01102991,0.029098581,0.063868476
468.1583,2.1949,0.000304847,0.011029947,0.029098751,0.063868848
470.3532,2.1949,0.000304847,0.011029983,0.029098919,0.063869217
472.5481,2.1949,0.000304847,0.011030019,0.029099085,0.063869583
474.743,2.1949,0.000304847,0.011030055,0.029099251,0.063869946
476.9379,2.1949,0.000304847,0.011030091,0.029099415,0.063870306
479.1328,2.1949,0.000304847,0.011030127,0.029099578,0.063870664
481.3277,2.1949,0.000304847,0.011030162,0.02909974,0.063871019
483.5226,2.1949,0.000304847,0.011030197,0.029099901,0.063871372
485.7175,2.1949,0.000304847,0.011030231,0.02910006,0.063871722
487.9124,2.1949,0.000304847,0.011030266,0.029100219,0.06387207
490.1073,2.1949,0.000304847,0.0110303,0.029100376,0.063872415
492.3022,2.1949,0.000304847,0.011030334,0.029100532,0.063872757
494.4971,2.1949,0.000304847,0.011030368,0.029100687,0.063873097
496.692,2.1949,0.000304847,0.011030401,0.02910084,0.063873435
498.8869,2.1949,0.000304847,0.011030434,0.029100993,0.06387377
501.0818,2.1949,0.000304847,0.011030467,0.029101145,0.063874103
503.2767,2.1949,0.000304847,0.0110305,0.029101295,0.063874433
505.4716,2.1949,0.000304847,0.011030532,0.029101445,0.063874762
507.6665,2.1949,0.000304847,0.011030565,0.029101593,0.063875087
509.8614,2.1949,0.000304847,0.011030597,0.029101741,0.063875411
512.0563,2.1949,0.000304847,0.011030629,0.029101887,0.063875733
514.2512,2.1949,0.000304847,0.01103066,0.029102033,0.063876052
516.4461,2.1949,0.000304847,0.011030692,0.029102177,0.063876369
518.641,2.1949,0.000304847,0.011030723,0.029102321,0.063876684
520.8359,2.1949,0.000304847,0.011030754,0.029102463,0.063876996
523.0308,2.1949,0.000304847,0.011030785,0.029102605,0.063877307
525.2257,2.1949,0.000304847,0.011030815,0.029102745,0.063877615
527.4206,2.1949,0.000304847,0.011030846,0.029102885,0.063877922
529.6155,2.1949,0.000304847,0.011030876,0.029103024,0.063878226
531.8104,2.1949,0.000304847,0.011030906,0.029103161,0.063878529
534.0053,2.1949,0.000304847,0.011030935,0.029103298,0.063878829
536.2002,2.1949,0.000304847,0.011030965,0.029103434,0.063879128
538.3951,2.1949,0.000304847,0.011030994,0.029103569,0.063879424
540.59,2.1949,0.000304847,0.011031024,0.029103703,0.063879719
542.7849,2.1949,0.000304847,0.011031053,0.029103837,0.063880011
544.9798,2.1949,0.000304847,0.011031081,0.029103969,0.063880302
547.1747,2.1949,0.000304847,0.01103111,0.029104101,0.063880591
549.3696,2.1949,0.000304847,0.011031139,0.029104232,0.063880878
551.5645,2.1949,0.000304847,0.011031167,0.029104362,0.063881163
553.7594,2.1949,0.000304847,0.011031195,0.029104491,0.063881446
555.9543,2.1949,0.000304847,0.011031223,0.029104619,0.063881728
558.1492,2.1949,0.000304847,0.011031251,0.029104746,0.063882008
560.3441,2.1949,0.000304847,0.011031278,0.029104873,0.063882286
562.539,2.1949,0.000304847,0.011031306,0.029104999,0.063882562
564.7339,2.1949,0.000304847,0.011031333,0.029105124,0.063882837
566.9288,2.1949,0.000304847,0.01103136,0.029105248,0.06388311
569.1237,2.1949,0.000304847,0.011031387,0.029105372,0.063883381
571.3186,2.1949,0.000304847,0.011031413,0.029105495,0.063883651
573.5135,2.1949,0.000304847,0.01103144,0.029105617,0.063883919
575.7084,2.1949,0.000304847,0.011031466,0.029105738,0.063884185
577.9033,2.1949,0.000304847,0.011031493,0.029105859,0.06388445
580.0982,2.1949,0.000304847,0.011031519,0.029105979,0.063884713
582.2931,2.1949,0.000304847,0.011031545,0.029106098,0.063884974
584.488,2.1949,0.000304847,0.01103157,0.029106216,0.063885234
586.6829,2.1949,0.000304847,0.011031596,0.029106334,0.063885492
588.8778,2.1949,0.000304847,0.011031622,0.029106451,0.063885749
591.0727,2.1949,0.000304847,0.011031647,0.029106567,0.063886005
593.2676,2.1949,0.000304847,0.011031672,0.029106683,0.063886258
595.4625,2.1949,0.000304847,0.011031697,0.029106798,0.063886511
597.6574,2.1949,0.000304847,0.011031722,0.029106912,0.063886762
599.8523,2.1949,0.000304847,0.011031747,0.029107026,0.063887011
602.0472,2.1949,0.000304847,0.011031771,0.029107139,0.063887259
604.2421,2.1949,0.000304847,0.011031796,0.029107251,0.063887505
606.437,2.1949,0.000304847,0.01103182,0.029107363,0.063887751
608.6319,2.1949,0.000304847,0.011031844,0.029107474,0.063887994
610.8268,2.1949,0.000304847,0.011031868,0.029107584,0.063888237
613.0217,2.1949,0.000304847,0.011031892,0.029107694,0.063888477
