# Hydrograph at the point with coordinates: 3.11524736794 69.0903221649
# A pixel size is [m2]:
# 1.0
# time[s];deltaTime[s];Rainfall[m];Water_level_[m];Sheet_Flow[m3/s];Sheet_V_runoff[m3];Sheet_V_rest[m3];Infiltration[m];Surface_retetion[m];State;V_inflow[m3];WlevelTotal[m];SurfaceBil[m3];V_to_rill.m3.;ratio;courant;courantrill;iter
695.9182;2.2682;3.78033333333e-05;0.00383900869719;0.000363285532172;0.000824004244073;0.00301500445312;1.02082160483e-05;0;0;0.000796675180628;0.00383927475103;4.33680868994e-19;0.0;1;0.949992884128;0;2
698.1797;2.2615;3.76916666667e-05;0.00383927475103;0.000363329542158;0.00082166975959;0.00301760499144;1.01764707107e-05;0;0;0.000794412863108;0.00383953305051;0.0;0.0;1;0.949995693295;0;2
700.4346;2.2549;3.75816666667e-05;0.00383953305051;0.000363372271618;0.000819368135271;0.00302016491524;1.01451992782e-05;0;0;0.000792182746547;0.00383978412917;0.0;0.0;1;0.950010413233;0;2
702.6829;2.2483;3.74716666667e-05;0.00383978412917;0.000363413808629;0.00081706326594;0.00302272086323;1.01139513758e-05;0;0;0.000789949884445;0.00384002846297;0.0;0.0;1;0.949995484527;0;2
704.9247;2.2418;3.73633333333e-05;0.00384002846297;0.000363454231758;0.000814791696754;0.00302523676621;1.00831764043e-05;0;0;0.000787749574157;0.0038402664973;0.0;0.0;1;0.949993480771;0;2
707.1601;2.2354;3.72566666667e-05;0.0038402664973;0.000363493614539;0.000812553625941;0.00302771287136;1.0052873789e-05;0;0;0.000785581975022;0.00384049863926;-4.33680868994e-19;0.0;1;0.950005084091;0;2
709.3891;2.229;3.715e-05;0.00384049863926;0.000363532024187;0.000810312881912;0.00303018575735;1.00225933879e-05;0;0;0.000783412087063;0.00384072525102;-4.33680868994e-19;0.0;1;0.949988349349;0;2
711.6118;2.2227;3.7045e-05;0.00384072525102;0.000363569520496;0.000808105973207;0.00303261927781;9.99278442577e-06;0;0;0.000781275180812;0.0038409466742;0.0;0.0;1;0.949986201004;0;2
713.8283;2.2165;3.69416666667e-05;0.0038409466742;0.000363606159876;0.000805933053364;0.00303501362083;9.96344635759e-06;0;0;0.000779171380719;0.00384116322186;4.33680868994e-19;0.0;1;0.949999301587;0;2
716.0386;2.2103;3.68383333333e-05;0.00384116322186;0.000363641994021;0.000803757899384;0.00303740532248;9.9341292674e-06;0;0;0.000777065645004;0.00384137517155;0.0;0.0;1;0.949985326228;0;2
718.2428;2.2042;3.67366666667e-05;0.00384137517155;0.000363677068759;0.000801616994959;0.00303975817659;9.90528220663e-06;0;0;0.000774993226439;0.00384158278749;0.0;0.0;1;0.949987545762;0;2
720.441;2.1982;3.66366666667e-05;0.00384158278749;0.000363711427726;0.000799510460428;0.00304207232706;9.8769046583e-06;0;0;0.000772954223481;0.00384178631255;0.0;0.0;1;0.950006603759;0;2
722.6332;2.1922;3.65366666667e-05;0.00384178631255;0.00036374511103;0.000797402032401;0.00304438428015;9.84854692498e-06;0;0;0.000770913561143;0.00384198596103;0.0;0.0;1;0.949999800942;0;2
724.8195;2.1863;3.64383333333e-05;0.00384198596103;0.000363778154059;0.00079532817822;0.00304665778281;9.82065788829e-06;0;0;0.000768906480961;0.00384218193922;0.0;0.0;1;0.950010749496;0;2
726.9999;2.1804;3.634e-05;0.00384218193922;0.000363810590881;0.000793252612357;0.00304892932686;9.7927879917e-06;0;0;0.000766897889559;0.00384237442843;0.0;0.0;1;0.949996503783;0;2
729.1745;2.1746;3.62433333333e-05;0.00384237442843;0.000363842451439;0.000791211794899;0.00305116263353;9.76538600432e-06;0;0;0.00076492302379;0.00384256360465;-4.33680868994e-19;0.0;1;0.950000900918;0;2
731.3433;2.1688;3.61466666667e-05;0.00384256360465;0.000363873764798;0.000789169421094;0.00305339418356;9.73800250772e-06;0;0;0.000762946774174;0.00384274962189;0.0;0.0;1;0.949980749442;0;2
733.5064;2.1631;3.60516666667e-05;0.00384274962189;0.000363904556392;0.000787161945931;0.00305558767596;9.71108616003e-06;0;0;0.000761004374533;0.003842932631;0.0;0.0;1;0.949980106952;0;2
735.6639;2.1575;3.59583333333e-05;0.003842932631;0.000363934851135;0.000785189441325;0.00305774318967;9.68463650008e-06;0;0;0.000759095885217;0.00384311277172;0.0;0.0;1;0.949999567229;0;2
737.8158;2.1519;3.5865e-05;0.00384311277172;0.00036396467211;0.000783215577913;0.00305989719381;9.65820431306e-06;0;0;0.000757186175893;0.00384329016539;0.0;0.0;1;0.949995565093;0;2
739.9622;2.1464;3.57733333333e-05;0.00384329016539;0.000363994039351;0.000781276806062;0.00306201335933;9.63223809473e-06;0;0;0.000755310478125;0.00384346493269;-4.33680868994e-19;0.0;1;0.950012473343;0;2
742.1031;2.1409;3.56816666667e-05;0.00384346493269;0.000364022972792;0.000779336782451;0.00306412815024;9.60628876177e-06;0;0;0.000753433649612;0.00384363717775;4.33680868994e-19;0.0;1;0.950006470981;0;2
744.2386;2.1355;3.55916666667e-05;0.00384363717775;0.000364051489631;0.000777431956106;0.00306620522165;9.58080470244e-06;0;0;0.000751590921758;0.00384380700537;0.0;0.0;1;0.950022126005;0;2
746.3687;2.1301;3.55016666667e-05;0.00384380700537;0.000364079607173;0.000775525971239;0.00306828103413;9.55533696247e-06;0;0;0.000749747141475;0.00384397450531;0.0;0.0;1;0.950015348571;0;2
748.4934;2.1247;3.54116666667e-05;0.00384397450531;0.000364107340243;0.000773618865814;0.0030703556395;9.5298853531e-06;0;0;0.000747902340397;0.00384413976121;-4.33680868994e-19;0.0;1;0.949986169505;0;2
750.6128;2.1194;3.53233333333e-05;0.00384413976121;0.000364134702651;0.000771747088799;0.00307239267241;9.50489810255e-06;0;0;0.000746091751175;0.00384430285882;0.0;0.0;1;0.949979409149;0;2
752.727;2.1142;3.52366666667e-05;0.00384430285882;0.000364161708561;0.00076991068424;0.00307439217458;9.48037480191e-06;0;0;0.000744315411967;0.00384446387841;0.0;0.0;1;0.949995466656;0;2
754.836;2.109;3.515e-05;0.00384446387841;0.000364188371231;0.000768073274927;0.00307639060348;9.45586674797e-06;0;0;0.000742538150907;0.00384462288764;0.0;0.0;1;0.949989640191;0;2
756.9399;2.1039;3.5065e-05;0.00384462288764;0.000364214701833;0.000766271311186;0.00307835157645;9.43182201468e-06;0;0;0.000740795202933;0.00384477995737;0.0;0.0;1;0.950006919717;0;2
759.0387;2.0988;3.498e-05;0.00384477995737;0.000364240712069;0.000764468406491;0.00308031155088;9.40779202099e-06;0;0;0.000739051387902;0.00384493514676;0.0;0.0;1;0.950002239377;0;2
761.1325;2.0938;3.48966666667e-05;0.00384493514676;0.000364266411708;0.000762701012834;0.00308223413393;9.38422473874e-06;0;0;0.000737341942861;0.00384508851872;-4.33680868994e-19;0.0;1;0.950020641452;0;2
763.2213;2.0888;3.48133333333e-05;0.00384508851872;0.000364291811138;0.000760932735105;0.00308415578361;9.36067170688e-06;0;0;0.000735631679983;0.00384524012522;0.0;0.0;1;0.950016644938;0;2
765.3051;2.0838;3.473e-05;0.00384524012522;0.000364316918943;0.000759163595693;0.00308607652953;9.33713276861e-06;0;0;0.000733920618435;0.00384539001519;0.0;0.0;1;0.949989697138;0;2
767.384;2.0789;3.46483333333e-05;0.00384539001519;0.000364341743198;0.000757430049934;0.00308795996526;9.31405574374e-06;0;0;0.000732243999065;0.00384553824191;4.33680868994e-19;0.0;1;0.94998481146;0;2
769.4581;2.0741;3.45683333333e-05;0.00384553824191;0.000364366292702;0.000755732127694;0.00308980611422;9.29144026738e-06;0;0;0.000730601848525;0.00384568485581;0.0;0.0;1;0.950001587509;0;2
771.5274;2.0693;3.44883333333e-05;0.00384568485581;0.000364390575785;0.000754033418473;0.00309165143734;9.26883811237e-06;0;0;0.000728958965058;0.00384582989762;4.33680868994e-19;0.0;1;0.94999355458;0;2
773.592;2.0646;3.441e-05;0.00384582989762;0.000364414599171;0.000752370381448;0.00309345951617;9.2466969518e-06;0;0;0.000727350593651;0.00384597341287;0.0;0.0;1;0.950005573793;0;2
775.6519;2.0599;3.43316666667e-05;0.00384597341287;0.000364438370378;0.000750706599142;0.00309526681373;9.2245686725e-06;0;0;0.000725741526171;0.00384611543789;-4.33680868994e-19;0.0;1;0.949990621436;0;2
777.7072;2.0553;3.4255e-05;0.00384611543789;0.000364461895405;0.000749078533625;0.00309703690427;9.2029008504e-06;0;0;0.000724167010613;0.00384625601403;0.0;0.0;1;0.949993421024;0;2
779.758;2.0508;3.418e-05;0.00384625601403;0.000364485181078;0.000747486209354;0.00309876980468;9.18169314572e-06;0;0;0.000722627069143;0.00384639518067;0.0;0.0;1;0.95001271592;0;2
781.8043;2.0463;3.4105e-05;0.00384639518067;0.000364508233902;0.000745893199035;0.00310050198164;9.16049761389e-06;0;0;0.000721086484591;0.00384653296862;-4.33680868994e-19;0.0;1;0.95000065455;0;2
783.8462;2.0419;3.40316666667e-05;0.00384653296862;0.000364531058962;0.000744335969294;0.00310219699932;9.13976168837e-06;0;0;0.000719580509606;0.00384666941391;4.33680868994e-19;0.0;1;0.950001778759;0;2
785.8838;2.0376;3.396e-05;0.00384666941391;0.000364553662208;0.000742814542116;0.00310385487179;9.11948504366e-06;0;0;0.000718109164272;0.00384680455102;0.0;0.0;1;0.950014373818;0;2
787.9171;2.0333;3.38883333333e-05;0.00384680455102;0.000364576049336;0.000741292481115;0.0031055120699;9.09921989961e-06;0;0;0.000716637222989;0.00384693840633;0.0;0.0;1;0.949989888894;0;2
789.9463;2.0292;3.382e-05;0.00384693840633;0.000364598224697;0.000739842717555;0.00310709568877;9.07986096011e-06;0;0;0.000715235190385;0.0038470710182;0.0;0.0;1;0.950019660239;0;2
791.9714;2.0251;3.37516666667e-05;0.0038470710182;0.000364620194631;0.000738392356147;0.00310867866205;9.06051299368e-06;0;0;0.000713832594727;0.00384720241045;0.0;0.0;1;0.950008282111;0;2
793.9925;2.0211;3.3685e-05;0.00384720241045;0.000364641963068;0.000736977871557;0.00311022453889;9.04162320306e-06;0;0;0.000712464696699;0.00384733261239;0.0;0.0;1;0.950000402889;0;2
796.0097;2.0172;3.362e-05;0.00384733261239;0.000364663534849;0.000735599282497;0.00311173332989;9.0231912859e-06;0;0;0.000711131513586;0.00384746165219;0.0;0.0;1;0.949994068023;0;2
798.0231;2.0134;3.35566666667e-05;0.00384746165219;0.000364684914626;0.000734256607108;0.00311320504508;9.00521694452e-06;0;0;0.000709833062181;0.00384758955699;-4.33680868994e-19;0.0;1;0.949987383227;0;2
800.0328;2.0097;3.3495e-05;0.00384758955699;0.000364706106881;0.000732949862998;0.00311463969399;8.98769988585e-06;0;0;0.000708569358808;0.00384771635291;0.0;0.0;1;0.949978552744;0;2
802.039;2.0062;3.34366666667e-05;0.00384771635291;0.000364727115929;0.000731715539977;0.00311600081294;8.97108694171e-06;0;0;0.000707375678832;0.00384784207149;-4.33680868994e-19;0.0;1;0.950013269648;0;2
804.0417;2.0027;3.33783333333e-05;0.00384784207149;0.000364747946981;0.00073048071342;0.00311736135807;8.95448349243e-06;0;0;0.000706181522756;0.00384796673067;0.0;0.0;1;0.949995497337;0;2
806.0411;1.9994;3.33233333333e-05;0.00384796673067;0.000364768602998;0.000729318344834;0.00311864838584;8.93878350022e-06;0;0;0.000705057424525;0.00384809036019;0.0;0.0;1;0.950018639226;0;2
808.0372;1.9961;3.32683333333e-05;0.00384809036019;0.000364789088895;0.000728155500344;0.00311993485985;8.92309254349e-06;0;0;0.000703932875858;0.0038482129765;0.0;0.0;1;0.949986745523;0;2
810.0302;1.993;3.32166666667e-05;0.0038482129765;0.000364809407384;0.000727065148917;0.00312114782758;8.90830440419e-06;0;0;0.000702878417904;0.00384833460775;0.0;0.0;1;0.949994004084;0;2
812.0202;1.99;3.31666666667e-05;0.00384833460775;0.000364829563121;0.00072601083061;0.00312232377714;8.893971743e-06;0;0;0.000701858803088;0.00384845527515;0.0;0.0;1;0.949992384574;0;2
814.0073;1.9871;3.31183333333e-05;0.00384845527515;0.000364849559607;0.000724992559894;0.00312346271526;8.88009429774e-06;0;0;0.000700874044969;0.00384857499926;0.0;0.0;1;0.949981552658;0;2
815.9917;1.9844;3.30733333333e-05;0.00384857499926;0.000364869400238;0.000724046837832;0.00312452816143;8.86711860554e-06;0;0;0.000699959429898;0.00384869380605;-4.33680868994e-19;0.0;1;0.95000930927;0;2
817.9734;1.9817;3.30283333333e-05;0.00384869380605;0.000364889089308;0.000723100708283;0.00312559309777;8.85415072974e-06;0;0;0.000699044428404;0.00384881170878;0.0;0.0;1;0.949980218353;0;2
819.9526;1.9792;3.29866666667e-05;0.00384881170878;0.000364908629003;0.000722227158523;0.00312658455026;8.84208401145e-06;0;0;0.000698199599286;0.0038489287322;0.0;0.0;1;0.949990449489;0;2
821.9294;1.9768;3.29466666667e-05;0.0038489287322;0.000364928023415;0.000721389716687;0.00312753901551;8.83047136321e-06;0;0;0.000697389683662;0.00384904489447;-4.33680868994e-19;0.0;1;0.949992846519;0;2
823.9039;1.9745;3.29083333333e-05;0.00384904489447;0.000364947275546;0.000720588395565;0.00312845649891;8.81931254219e-06;0;0;0.000696614693582;0.00384916021328;4.33680868994e-19;0.0;1;0.94998827926;0;2
