# Hydrograph at the point with coordinates: 49.7886753832 39.0876810083
# A pixel size is [m2]:
# 1.0
# Time[s];deltaTime[s];Rainfall[m];Waterlevel[m];V_runoff[m3];Q[m3/s];V_from_field[m3];V_rests_in_stream[m3]
600.0;20.0;0.0005;0.0105998679691;0.0780710426935;0.00390355213468;0.00125266788371;0.00537132934734
620.0;20.0;0.0005;0.0107125941657;0.0794651942037;0.00397325971019;0.00128124077545;0.00532364888508
640.0;20.0;0.0005;0.0108259475762;0.0808771673107;0.00404385836554;0.00130814895738;0.00526644726225
660.0;20.0;0.0005;0.0109451114095;0.0823723639019;0.00411861819509;0.00133354804317;0.0051963411284
680.0;20.0;0.0005;0.0110705699353;0.0839585171029;0.00419792585515;0.00135757401442;0.00511152551274
700.0;20.0;0.0005;0.0112029661459;0.0856456570984;0.00428228285492;0.00138034629444;0.005009822207
683.1844;1.5922;3.9805e-05;0.00789719651295;0.00372879624232;0.00234191448456;0.000110029661327;0.0824142039884
684.6882;1.548;3.87e-05;0.00777637941343;0.00353290540889;0.00228223863623;0.000107107277287;0.0812982223937
686.1584;1.5091;3.77275e-05;0.00767174469017;0.00336689330686;0.00223106043791;0.000104540785955;0.0803301060327
687.5981;1.4744;3.686e-05;0.00758140952717;0.00322488616717;0.00218725323329;0.000102255881286;0.0794957418957
689.0103;1.4433;3.60825e-05;0.00750394197093;0.0031030433225;0.0021499641949;0.000100212466602;0.0787833262556
690.397;1.415;3.5375e-05;0.00743813190002;0.00299765912277;0.00211848701256;9.83562135098e-05;0.0781839300104
691.7604;1.3892;3.473e-05;0.00738307835113;0.00290661622639;0.00209229500892;9.66672595832e-05;0.0776896970043
693.102;1.3654;3.4135e-05;0.00733800067397;0.00282766414569;0.00207094195524;9.51116377829e-05;0.0772947127649
694.4234;1.3434;3.3585e-05;0.00730231066185;0.0027594675571;0.00205409227117;9.36761035536e-05;0.0769938227045
695.726;1.323;3.3075e-05;0.00727552732374;0.00270087294205;0.00204147614667;9.2347311933e-05;0.0767829502276
697.011;1.304;3.26e-05;0.00725726264438;0.00265087578594;0.00203288020394;9.11118237067e-05;0.0766589610931
698.2792;1.2861;3.21525e-05;0.0072471911432;0.00260837938771;0.00202813108445;8.9949110073e-05;0.0766197421967
699.5319;1.2694;3.1735e-05;0.0072451330876;0.00257324388113;0.00202713398545;8.88665546112e-05;0.076663151121
700.7697;1.2536;3.134e-05;0.0072508997276;0.00254455432752;0.0020297976448;8.78435046447e-05;0.0767884956993
701.9933;1.2386;3.0965e-05;0.00726439855847;0.00252189394378;0.00203608424332;8.6873238113e-05;0.0769953232504
703.2037;1.2245;3.06125e-05;0.00728563085827;0.00250533684492;0.00204600803995;8.59630447921e-05;0.0772833990386
704.4012;1.211;3.0275e-05;0.00731458441076;0.00249415609015;0.00205958388947;8.50921057782e-05;0.0776539113785
705.5866;1.1982;2.9955e-05;0.00735137211237;0.00248853464926;0.0020768942157;8.42676571278e-05;0.078107825945
706.7604;1.186;2.965e-05;0.0073883978905;0.00248393079181;0.00209437672159;8.34828692941e-05;0.0785623934856
707.923;1.1743;2.93575e-05;0.00742605388572;0.00248037835557;0.00211221864563;8.27308763471e-05;0.0790222933773
709.0751;1.1632;2.908e-05;0.00746476328347;0.00247834304245;0.00213062503649;8.20188917146e-05;0.0794917519879
710.2169;1.1525;2.88125e-05;0.00750490337692;0.00247762287317;0.00214978123485;8.13329649832e-05;0.0799757120569
711.3488;1.1422;2.8555e-05;0.00754689530802;0.00247845622107;0.00216989688414;8.06732205289e-05;0.0804788030561
712.4712;1.1323;2.83075e-05;0.00759118612999;0.00248109294234;0.00219119751156;8.00397795953e-05;0.0810059467508
713.5845;1.1228;2.807e-05;0.00763826246228;0.00248580257846;0.00221393175851;7.94327604226e-05;0.0815625074924
714.6889;1.1136;2.784e-05;0.00768864968921;0.00249265066539;0.00223837164636;7.88451924912e-05;0.0821546989817
715.7849;1.1048;2.762e-05;0.00774268065505;0.00250204193045;0.00226470124045;7.82842575537e-05;0.0827857992281
716.8727;1.0963;2.74075e-05;0.00780070228325;0.0025139426635;0.00229311562848;7.77429689756e-05;0.083460076089
717.9524;1.088;2.72e-05;0.00786311641791;0.00252834035072;0.00232384223412;7.72143102728e-05;0.0841824183054
719.0244;1.08;2.7e-05;0.00793043658574;0.00254574451645;0.00235717084856;7.67054516304e-05;0.0849581112068
720.089;1.0723;2.68075e-05;0.00799598667218;0.00256258992183;0.00238980688411;7.62164755606e-05;0.0857136017899
721.1463;1.0648;2.662e-05;0.00805997575737;0.00257877521929;0.00242183998807;7.57403443573e-05;0.086451579011
722.1967;1.0576;2.644e-05;0.00812262522819;0.00259468323639;0.00245336917208;7.52842397154e-05;0.0871740125206
723.2401;1.0505;2.62625e-05;0.00818409071532;0.0026099272957;0.00248446196639;7.48339815266e-05;0.0878834558921
724.2768;1.0436;2.609e-05;0.00824455514178;0.00262486523878;0.00251520241355;7.43967386148e-05;0.0885814651145
725.3072;1.037;2.5925e-05;0.00830419446895;0.00263986293403;0.00254567303186;7.39797047698e-05;0.0892695107461
726.3312;1.0305;2.57625e-05;0.00836312224848;0.00265449102499;0.00257592530324;7.35686654127e-05;0.0899497093543
727.3491;1.0242;2.5605e-05;0.00842148280165;0.00266909450956;0.00260602861702;7.31708019553e-05;0.0906231904059
728.3609;1.018;2.545e-05;0.00847937860327;0.00268348012005;0.00263603155211;7.27790117307e-05;0.0912915192291
729.3669;1.012;2.53e-05;0.00853693245817;0.0026979868075;0.00266599486907;7.24004847231e-05;0.0919555858205
730.3673;1.0062;2.5155e-05;0.0085942452259;0.00271268376108;0.0026959687548;7.20352708565e-05;0.0926164874331
731.3621;1.0005;2.50125e-05;0.0086513896345;0.00272735226418;0.00272598926955;7.16762502094e-05;0.0932754742217
732.3514;0.9949;2.48725e-05;0.00870844148139;0.00274203898066;0.00275609506549;7.13234515902e-05;0.0939333775175
733.3355;0.9895;2.47375e-05;0.00876548665499;0.00275707468497;0.00278633116217;7.09840818844e-05;0.0945906729737
734.3144;0.9842;2.4605e-05;0.00882257206622;0.00277221780463;0.00281672201243;7.06510046945e-05;0.0952483368996
735.2882;0.979;2.4475e-05;0.00887974873464;0.00278750179728;0.00284729499212;7.03242472201e-05;0.0959069290561
736.257;0.9739;2.43475e-05;0.00893706015218;0.00280295617205;0.00287807390087;7.00038362249e-05;0.0965669264174
737.2211;0.969;2.4225e-05;0.00899456144193;0.00281890775906;0.00290908953463;6.9696995396e-05;0.0972284549196
738.1803;0.9641;2.41025e-05;0.00905225188397;0.00283478370359;0.0029403419807;6.93893652142e-05;0.0978924603812
739.135;0.9594;2.3985e-05;0.0091101857098;0.00285120487618;0.00297186249342;6.90953657336e-05;0.0985585758681
740.085;0.9547;2.38675e-05;0.00916835064338;0.00286758006595;0.0030036451932;6.88006181144e-05;0.0992276314533
741.0305;0.9501;2.37525e-05;0.00922677152657;0.00288422371979;0.00303570542026;6.85123444162e-05;0.0998994150162
741.9718;0.9457;2.36425e-05;0.00928547577531;0.00290146451929;0.00306806018747;6.82377890989e-05;0.100573730802
742.9087;0.9413;2.35325e-05;0.00934443801356;0.00291868564563;0.00310069653206;6.79625448987e-05;0.101251281905
743.8414;0.937;2.3425e-05;0.00940367132134;0.00293620533756;0.003133623626;6.76938465189e-05;0.101931716221
744.77;0.9328;2.332e-05;0.00946317441478;0.00295403060744;0.00316684241793;6.74317172459e-05;0.10261501498
745.6944;0.9286;2.3215e-05;0.00952292495805;0.00297183729004;0.00320034168646;6.71689422744e-05;0.103301434144
746.6148;0.9245;2.31125e-05;0.00958292870675;0.00298994995665;0.003234126508;6.69127689179e-05;0.103990530154
